Location ,Time of Day,Day ,Average Sound Level,,Location ,Time of Day,Day,Average Sound Level,,Location ,Time of Day,Day,Average Sound Level,,Location ,Time of Day,Day,Average Sound Level,,Location ,Time of Day,Day,Average Sound Level,,Location ,Time of Day,Day,Average Sound Level,,Location ,Time of Day,Day,Average Sound Level,,Location ,Time of Day,Day,Average Sound Level,,Location ,Time of Day,Day,Average Sound Level,,Location ,Time of Day,Day,Average Sound Level,,Location ,Time of Day,Day,Average Sound Level,,Location ,Time of Day,Day,Average Sound Level,,Location ,Time of Day,Day ,Average Sound Level,,Location ,Time of Day,Day,Average Sound Level,,Location ,Time of Day,Day,Average Sound Level,,Location ,Time of Day,Day,Average Sound Level,,Location ,Time of Day,Day,Average Sound Level,,Location ,Time of Day,Day,Average Sound Level,,Location ,Time of Day,Day,Average Sound Level,,Location ,Time of Day,Day,Average Sound Level,,Location ,Time of Day,Day,Average Sound Level,,Location ,Time of Day,Day,Average Sound Level,,Location ,Time of Day,Day,Average Sound Level,,Location ,Time of Day,Day,Average Sound Level,,Location ,Time of Day,Day ,Average Sound Level,,Location ,Time of Day,Day,Average Sound Level,,Location ,Time of Day,Day,Average Sound Level,,Location ,Time of Day,Day,Average Sound Level,,Location ,Time of Day,Day,Average Sound Level,,Location ,Time of Day,Day,Average Sound Level,,Location ,Time of Day,Day,Average Sound Level,,Location ,Time of Day,Day,Average Sound Level,,Location ,Time of Day,Day,Average Sound Level,,Location ,Time of Day,Day,Average Sound Level,,Location ,Time of Day,Day,Average Sound Level,,Location ,Time of Day,Day,Average Sound Level
A,Morn,1,54.54,,A,Noon,1,76.76,,A,Afternoon,1,63.2,,A,Morn,2,57.6044248,,A,Noon,2,65.386,,A,Afternoon,2,64.8843137,,A,Morn,3,63.7078431,,A,Noon,3,74.7865385,,A,Afternoon,3,67.237037,,A,Morn,4,41.3862745,,A,Noon,4,70.4692308,,A,Afternoon,4,60.0785714,,B,Morn,1,57.6339286,,B,Noon,1,55.9981132,,B,Afternoon,1,65.7277778,,B,Morn,2,60.1431373,,B,Noon,2,64.7363636,,B,Afternoon,2,66.6943396,,B,Morn,3,57.5444444,,B,Noon,3,63.9150943,,B,Afternoon,3,68.7230769,,B,Morn,4,72.98,,B,Noon,4,63.1363636,,B,Afternoon,4,68.0509434,,C,Morn,1,44.9730769,,C,Noon,1,69.7705882,,C,Afternoon,1,56.0711539,,C,Morn,2,44.0959184,,C,Noon,2,47.4907407,,C,Afternoon,2,67.8647059,,C,Morn,3,38.7763636,,C,Noon,3,61.2173077,,C,Afternoon,3,45.4288462,,C,Morn,4,40.3038462,,C,Noon,4,56.6019231,,C,Afternoon,4,40.3980769
A,Morn,1,57.62,,A,Noon,1,76.76,,A,Afternoon,1,64,,A,Morn,2,58.8522124,,A,Noon,2,64.774,,A,Afternoon,2,67.2647059,,A,Morn,3,63.9392157,,A,Noon,3,71.3730769,,A,Afternoon,3,69.6074074,,A,Morn,4,43.5764706,,A,Noon,4,69.3423077,,A,Afternoon,4,57.75,,B,Morn,1,54.6589286,,B,Noon,1,68.454717,,B,Afternoon,1,64.0833333,,B,Morn,2,65.5666667,,B,Noon,2,66.9018182,,B,Afternoon,2,64.9792453,,B,Morn,3,58.3518519,,B,Noon,3,67.3415094,,B,Afternoon,3,67.9692308,,B,Morn,4,72.2236364,,B,Noon,4,64.0945455,,B,Afternoon,4,67.8528302,,C,Morn,1,43.3423077,,C,Noon,1,68.8411765,,C,Afternoon,1,55.5134615,,C,Morn,2,47.9530612,,C,Noon,2,45.9925926,,C,Afternoon,2,70.672549,,C,Morn,3,38.9145455,,C,Noon,3,62.4153846,,C,Afternoon,3,49.4173077,,C,Morn,4,38.2557692,,C,Noon,4,56.95,,C,Afternoon,4,35.7
A,Morn,1,56,,A,Noon,1,76.76,,A,Afternoon,1,57.85,,A,Morn,2,58.400885,,A,Noon,2,67.206,,A,Afternoon,2,66.2333333,,A,Morn,3,63.1078431,,A,Noon,3,72.8519231,,A,Afternoon,3,70.1518519,,A,Morn,4,42.6705882,,A,Noon,4,67.3788462,,A,Afternoon,4,57.4625,,B,Morn,1,56.1303571,,B,Noon,1,57.045283,,B,Afternoon,1,62.1037037,,B,Morn,2,61.2745098,,B,Noon,2,66.1563636,,B,Afternoon,2,63.4754717,,B,Morn,3,57.1907407,,B,Noon,3,64.8075472,,B,Afternoon,3,66.1538462,,B,Morn,4,72.24,,B,Noon,4,69.2636364,,B,Afternoon,4,67.1245283,,C,Morn,1,45.575,,C,Noon,1,67.9156863,,C,Afternoon,1,58.3596154,,C,Morn,2,45.5938776,,C,Noon,2,45.3907407,,C,Afternoon,2,66.5078431,,C,Morn,3,37.5563636,,C,Noon,3,56.7326923,,C,Afternoon,3,43.7788462,,C,Morn,4,43.9269231,,C,Noon,4,57.3134615,,C,Afternoon,4,33.1519231
A,Morn,1,56.38,,A,Noon,1,76.76,,A,Afternoon,1,57.6,,A,Morn,2,56.640708,,A,Noon,2,67.23,,A,Afternoon,2,67.227451,,A,Morn,3,61.5019608,,A,Noon,3,70.4423077,,A,Afternoon,3,71.1518519,,A,Morn,4,42.9764706,,A,Noon,4,69.1519231,,A,Afternoon,4,57.325,,B,Morn,1,57.4964286,,B,Noon,1,57.3962264,,B,Afternoon,1,62.0518519,,B,Morn,2,59.4196078,,B,Noon,2,65.2581818,,B,Afternoon,2,62.3698113,,B,Morn,3,57.8944444,,B,Noon,3,64.8433962,,B,Afternoon,3,67.1173077,,B,Morn,4,71.54,,B,Noon,4,61.4545455,,B,Afternoon,4,66.0528302,,C,Morn,1,44.9153846,,C,Noon,1,67.1627451,,C,Afternoon,1,57.6,,C,Morn,2,44.2122449,,C,Noon,2,50.2481482,,C,Afternoon,2,64.8411765,,C,Morn,3,33.5581818,,C,Noon,3,55.05,,C,Afternoon,3,45.0057692,,C,Morn,4,36.2730769,,C,Noon,4,59.2423077,,C,Afternoon,4,28.8173077
A,Morn,1,59.94,,A,Noon,1,76.76,,A,Afternoon,1,56.15,,A,Morn,2,58.1707965,,A,Noon,2,64.552,,A,Afternoon,2,64.272549,,A,Morn,3,63.4843137,,A,Noon,3,68.3903846,,A,Afternoon,3,70.0611111,,A,Morn,4,41.8019608,,A,Noon,4,66.5576923,,A,Afternoon,4,56.8892857,,B,Morn,1,59.8089286,,B,Noon,1,59.7396226,,B,Afternoon,1,61.3092593,,B,Morn,2,59.9058824,,B,Noon,2,64.0909091,,B,Afternoon,2,63.4358491,,B,Morn,3,58.3092593,,B,Noon,3,64.445283,,B,Afternoon,3,64.0038462,,B,Morn,4,72.24,,B,Noon,4,60.2072727,,B,Afternoon,4,66.1,,C,Morn,1,43.8403846,,C,Noon,1,66.2705882,,C,Afternoon,1,53.8365385,,C,Morn,2,41.5918367,,C,Noon,2,52.3888889,,C,Afternoon,2,63.4078431,,C,Morn,3,36.6145455,,C,Noon,3,58.0826923,,C,Afternoon,3,46.7,,C,Morn,4,42.2480769,,C,Noon,4,56.8096154,,C,Afternoon,4,27.6192308
A,Morn,1,59.36,,A,Noon,1,76.76,,A,Afternoon,1,55.65,,A,Morn,2,57.3318584,,A,Noon,2,65.426,,A,Afternoon,2,66.5941177,,A,Morn,3,64.2490196,,A,Noon,3,69.0211539,,A,Afternoon,3,69.7277778,,A,Morn,4,41.8313726,,A,Noon,4,70.4980769,,A,Afternoon,4,59.1339286,,B,Morn,1,59.1303571,,B,Noon,1,68.4924528,,B,Afternoon,1,61.1962963,,B,Morn,2,59.3078431,,B,Noon,2,63.3690909,,B,Afternoon,2,62.2962264,,B,Morn,3,56.2703704,,B,Noon,3,69.0566038,,B,Afternoon,3,65.2134615,,B,Morn,4,72.8890909,,B,Noon,4,65.5272727,,B,Afternoon,4,66.1339623,,C,Morn,1,45.6326923,,C,Noon,1,66.4980392,,C,Afternoon,1,57.8615385,,C,Morn,2,44.3122449,,C,Noon,2,50.6611111,,C,Afternoon,2,65.3392157,,C,Morn,3,38.5181818,,C,Noon,3,62.5692308,,C,Afternoon,3,47.9653846,,C,Morn,4,45.9134615,,C,Noon,4,57.8,,C,Afternoon,4,26.3269231
A,Morn,1,60.78,,A,Noon,1,76.76,,A,Afternoon,1,60.85,,A,Morn,2,56.5424779,,A,Noon,2,65.05,,A,Afternoon,2,63.6058824,,A,Morn,3,61.5137255,,A,Noon,3,71.1442308,,A,Afternoon,3,70.7444444,,A,Morn,4,41.754902,,A,Noon,4,70.9384615,,A,Afternoon,4,61.3285714,,B,Morn,1,58.8,,B,Noon,1,65.645283,,B,Afternoon,1,60.4981482,,B,Morn,2,59.4784314,,B,Noon,2,64.8109091,,B,Afternoon,2,69.7037736,,B,Morn,3,57.9222222,,B,Noon,3,69.6037736,,B,Afternoon,3,66.4,,B,Morn,4,72.92,,B,Noon,4,73.38,,B,Afternoon,4,65.7886793,,C,Morn,1,45.7076923,,C,Noon,1,66.627451,,C,Afternoon,1,58.275,,C,Morn,2,44.0510204,,C,Noon,2,50.4333333,,C,Afternoon,2,67.3901961,,C,Morn,3,39.0763636,,C,Noon,3,60.0634615,,C,Afternoon,3,48.0384615,,C,Morn,4,47.5288462,,C,Noon,4,58.1769231,,C,Afternoon,4,26.8923077
A,Morn,1,62.5,,A,Noon,1,76.76,,A,Afternoon,1,60.9,,A,Morn,2,56.9646018,,A,Noon,2,68.306,,A,Afternoon,2,59.3960784,,A,Morn,3,65.0803922,,A,Noon,3,69.675,,A,Afternoon,3,69.6277778,,A,Morn,4,40.2019608,,A,Noon,4,70.5038462,,A,Afternoon,4,58.9517857,,B,Morn,1,54.2017857,,B,Noon,1,68.4056604,,B,Afternoon,1,60.0925926,,B,Morn,2,54.7745098,,B,Noon,2,61.8490909,,B,Afternoon,2,69.6396226,,B,Morn,3,60.2833333,,B,Noon,3,67.2735849,,B,Afternoon,3,70.3076923,,B,Morn,4,72.7890909,,B,Noon,4,59.3890909,,B,Afternoon,4,66.5471698,,C,Morn,1,44.1942308,,C,Noon,1,70.1137255,,C,Afternoon,1,53.7634615,,C,Morn,2,40.4714286,,C,Noon,2,50.137037,,C,Afternoon,2,63.2431373,,C,Morn,3,36.2854546,,C,Noon,3,58.8365385,,C,Afternoon,3,46.6,,C,Morn,4,44.1673077,,C,Noon,4,58.4442308,,C,Afternoon,4,28.7230769
A,Morn,1,60.66,,A,Noon,1,76.76,,A,Afternoon,1,62.2,,A,Morn,2,55.7504425,,A,Noon,2,65.876,,A,Afternoon,2,62.454902,,A,Morn,3,63.6588235,,A,Noon,3,65.3865385,,A,Afternoon,3,70.6277778,,A,Morn,4,41.1509804,,A,Noon,4,68.8403846,,A,Afternoon,4,58.0125,,B,Morn,1,57.2321429,,B,Noon,1,72.1509434,,B,Afternoon,1,60.2111111,,B,Morn,2,56.3431373,,B,Noon,2,61.0181818,,B,Afternoon,2,65.390566,,B,Morn,3,59.9592593,,B,Noon,3,65.7226415,,B,Afternoon,3,67.5019231,,B,Morn,4,73.4127273,,B,Noon,4,55.1381818,,B,Afternoon,4,67.590566,,C,Morn,1,45.9557692,,C,Noon,1,68.4470588,,C,Afternoon,1,56.4326923,,C,Morn,2,40.5020408,,C,Noon,2,47.0148148,,C,Afternoon,2,63.5176471,,C,Morn,3,36.3109091,,C,Noon,3,55.1653846,,C,Afternoon,3,45.5269231,,C,Morn,4,40.9269231,,C,Noon,4,55.9942308,,C,Afternoon,4,29.425
A,Morn,1,61.4,,A,Noon,1,76.76,,A,Afternoon,1,58.45,,A,Morn,2,58.7637168,,A,Noon,2,64.83,,A,Afternoon,2,63.6686275,,A,Morn,3,58.3862745,,A,Noon,3,65.8307692,,A,Afternoon,3,69.8907407,,A,Morn,4,41.4137255,,A,Noon,4,69.3730769,,A,Afternoon,4,58.4053571,,B,Morn,1,56.6785714,,B,Noon,1,74.9113208,,B,Afternoon,1,61.137037,,B,Morn,2,57.3941177,,B,Noon,2,60.8545455,,B,Afternoon,2,69.8339623,,B,Morn,3,57.7277778,,B,Noon,3,66.7075472,,B,Afternoon,3,73.6980769,,B,Morn,4,72.7563636,,B,Noon,4,74.9854546,,B,Afternoon,4,67.790566,,C,Morn,1,46.9653846,,C,Noon,1,69.3039216,,C,Afternoon,1,56.25,,C,Morn,2,42.3897959,,C,Noon,2,55.8833333,,C,Afternoon,2,63.0686275,,C,Morn,3,34.3436364,,C,Noon,3,62.3769231,,C,Afternoon,3,43.2384615,,C,Morn,4,35.8846154,,C,Noon,4,62.1192308,,C,Afternoon,4,26.8288462
