Location,Time of Day,Day,Average Sound Level,,Location,Time of Day,Day,Average Sound Level,,Location,Time of Day,Day,Average Sound Level,,Location,Time of Day,Day,Average Sound Level,,Location,Time of Day,Day,Average Sound Level,,Location,Time of Day,Day,Average Sound Level,,Location,Time of Day,Day,Average Sound Level,,Location,Time of Day,Day,Average Sound Level,,Location,Time of Day,Day,Average Sound Level,,Location,Time of Day,Day,Gain Bin Mean,,Location,Time of Day,Day,Gain Bin Mean,,Location,Time of Day,Day,Gain Bin Mean,,Location,Time of Day,Day,Average Sound Level,,Location,Time of Day,Day,Average Sound Level,,Location,Time of Day,Day,Average Sound Level,,Location,Time of Day,Day,Average Sound Level,,Location,Time of Day,Day,Average Sound Level,,Location,Time of Day,Day,Average Sound Level,,Location,Time of Day,Day,Average Sound Level,,Location,Time of Day,Day,Average Sound Level,,Location,Time of Day,Day,Average Sound Level,,Location,Time of Day,Day,Average Sound Level,,Location,Time of Day,Day,Average Sound Level,,Location,Time of Day,Day,Average Sound Level,,Location,Time of Day,Day,Average Sound Level,,Location,Time of Day,Day,Average Sound Level,,Location,Time of Day,Day,Average Sound Level,,Location,Time of Day,Day,Average Sound Level,,Location,Time of Day,Day,Average Sound Level,,Location,Time of Day,Day,Average Sound Level,,Location,Time of Day,Day,Average Sound Level,,Location,Time of Day,Day,Average Sound Level,,Location,Time of Day,Day,Average Sound Level,,Location,Time of Day,Day,Average Sound Level,,Location,Time of Day,Day,Average Sound Level,,Location,Time of Day,Day,Average Sound Level
Art,Morning,Tue,53.955,,Art,Afternoon,1,72.7048,,Art,Evening,1,64.162,,Art,Morning,2,64.8942,,Art,Afternoon,2,61.521,,Art,Evening,2,65.985,,Art,Morning,3,59.578,,Art,Afternoon,3,69.7648,,Art,Evening,3,70.187,,Art,Morning,4,76.19667,,Art,Afternoon,4,66.2513,,Art,Evening,4,57.47463,,Front,Morning,1,79.404,,Front,Afternoon,1,76.0118,,Front,Evening,1,67.9332,,Front,Morning,2,70.3442,,Front,Afternoon,2,62.396,,Front,Evening,2,78.5576,,Front,Morning,3,74.6322,,Front,Afternoon,3,66.786,,Front,Evening,3,71.61981,,Front,Morning,4,77.89491,,Front,Afternoon,4,70.92208,,Front,Evening,4,62.87887,,Sports,Morning,1,61.555,,Sports,Afternoon,1,60.216,,Sports,Evening,1,64.7378,,Sports,Morning,2,74.6322,,Sports,Afternoon,2,66.786,,Sports,Evening,2,68.474,,Sports,Morning,3,77.51556,,Sports,Afternoon,3,71.66,,Sports,Evening,3,78.24,,Sports,Morning,4,66.392,,Sports,Afternoon,4,60.256,,Sports,Evening,4,66.326
Art,Morning,Tue,54.5814,,Art,Afternoon,1,74.0764,,Art,Evening,1,63.366,,Art,Morning,2,66.0372,,Art,Afternoon,2,56.4434,,Art,Evening,2,68.6982,,Art,Morning,3,58.954,,Art,Afternoon,3,70.2734,,Art,Evening,3,65.849,,Art,Morning,4,71.32218,,Art,Afternoon,4,73.19745,,Art,Evening,4,56.79291,,Front,Morning,1,85.272,,Front,Afternoon,1,68.062,,Front,Evening,1,58.326,,Front,Morning,2,64.0742,,Front,Afternoon,2,57.164,,Front,Evening,2,81.7024,,Front,Morning,3,75.1396,,Front,Afternoon,3,62.0582,,Front,Evening,3,71.00075,,Front,Morning,4,71.79222,,Front,Afternoon,4,65.08415,,Front,Evening,4,58.77556,,Sports,Morning,1,57.6732,,Sports,Afternoon,1,63.276,,Sports,Evening,1,68.9064,,Sports,Morning,2,75.1396,,Sports,Afternoon,2,62.0582,,Sports,Evening,2,65.394,,Sports,Morning,3,74.56055,,Sports,Afternoon,3,71.698,,Sports,Evening,3,74.86069,,Sports,Morning,4,68.914,,Sports,Afternoon,4,61.052,,Sports,Evening,4,70.69091
Art,Morning,Tue,57.8778,,Art,Afternoon,1,76.642,,Art,Evening,1,64.316,,Art,Morning,2,67.4774,,Art,Afternoon,2,56.8996,,Art,Evening,2,72.9644,,Art,Morning,3,60.48,,Art,Afternoon,3,73.157,,Art,Evening,3,64.5338,,Art,Morning,4,74.088,,Art,Afternoon,4,74.10691,,Art,Evening,4,60.35636,,Front,Morning,1,87.96,,Front,Afternoon,1,71.864,,Front,Evening,1,58.6504,,Front,Morning,2,70.361,,Front,Afternoon,2,56.242,,Front,Evening,2,80.703,,Front,Morning,3,70.414,,Front,Afternoon,3,65.9394,,Front,Evening,3,67.61038,,Front,Morning,4,73.12296,,Front,Afternoon,4,62.68315,,Front,Evening,4,57.24377,,Sports,Morning,1,63.1262,,Sports,Afternoon,1,65.694,,Sports,Evening,1,67.7112,,Sports,Morning,2,70.414,,Sports,Afternoon,2,65.9394,,Sports,Evening,2,66.362,,Sports,Morning,3,68.48255,,Sports,Afternoon,3,69.566,,Sports,Evening,3,73.83724,,Sports,Morning,4,67.828,,Sports,Afternoon,4,60.816,,Sports,Evening,4,69.52055
Art,Morning,Tue,56.8086,,Art,Afternoon,1,72.0878,,Art,Evening,1,62.624,,Art,Morning,2,64.959,,Art,Afternoon,2,59.8842,,Art,Evening,2,74.3194,,Art,Morning,3,58.826,,Art,Afternoon,3,71.288,,Art,Evening,3,66.7896,,Art,Morning,4,75.49073,,Art,Afternoon,4,75.46818,,Art,Evening,4,59.14927,,Front,Morning,1,87.724,,Front,Afternoon,1,66.627,,Front,Evening,1,57.7722,,Front,Morning,2,64.978,,Front,Afternoon,2,59.774,,Front,Evening,2,74.1292,,Front,Morning,3,70.2088,,Front,Afternoon,3,66.6762,,Front,Evening,3,65.99321,,Front,Morning,4,80.15604,,Front,Afternoon,4,63.11868,,Front,Evening,4,63.02722,,Sports,Morning,1,57.1416,,Sports,Afternoon,1,59.436,,Sports,Evening,1,69.7188,,Sports,Morning,2,70.2088,,Sports,Afternoon,2,66.6762,,Sports,Evening,2,65.44,,Sports,Morning,3,68.55655,,Sports,Afternoon,3,69.536,,Sports,Evening,3,70.7769,,Sports,Morning,4,65.828,,Sports,Afternoon,4,60.61,,Sports,Evening,4,67.23618
Art,Morning,Tue,53.6734,,Art,Afternoon,1,76.9578,,Art,Evening,1,69.378,,Art,Morning,2,62.818,,Art,Afternoon,2,59.9786,,Art,Evening,2,74.6396,,Art,Morning,3,58.676,,Art,Afternoon,3,74.9556,,Art,Evening,3,67.0248,,Art,Morning,4,78.23436,,Art,Afternoon,4,68.12236,,Art,Evening,4,55.47964,,Front,Morning,1,83.57,,Front,Afternoon,1,65.1084,,Front,Evening,1,58.2466,,Front,Morning,2,66.0464,,Front,Afternoon,2,62.272,,Front,Evening,2,76.1134,,Front,Morning,3,67.9436,,Front,Afternoon,3,65.5754,,Front,Evening,3,63.96491,,Front,Morning,4,79.29407,,Front,Afternoon,4,66.29075,,Front,Evening,4,66.2934,,Sports,Morning,1,49.5216,,Sports,Afternoon,1,63.258,,Sports,Evening,1,71.7408,,Sports,Morning,2,67.9436,,Sports,Afternoon,2,65.5754,,Sports,Evening,2,69.372,,Sports,Morning,3,69.78218,,Sports,Afternoon,3,70.078,,Sports,Evening,3,74.635,,Sports,Morning,4,65.538,,Sports,Afternoon,4,60.638,,Sports,Evening,4,69.19382
Art,Morning,Tue,56.196,,Art,Afternoon,1,79.2026,,Art,Evening,1,69.332,,Art,Morning,2,64.1564,,Art,Afternoon,2,61.1902,,Art,Evening,2,71.6884,,Art,Morning,3,60.002,,Art,Afternoon,3,75.8874,,Art,Evening,3,70.305,,Art,Morning,4,76.36636,,Art,Afternoon,4,68.73545,,Art,Evening,4,56.53564,,Front,Morning,1,85.794,,Front,Afternoon,1,67.6864,,Front,Evening,1,64.9668,,Front,Morning,2,70.6396,,Front,Afternoon,2,66.142,,Front,Evening,2,79.6638,,Front,Morning,3,69.3072,,Front,Afternoon,3,63.8558,,Front,Evening,3,64.42132,,Front,Morning,4,76.08019,,Front,Afternoon,4,73.10926,,Front,Evening,4,64.05537,,Sports,Morning,1,55.198,,Sports,Afternoon,1,56.53,,Sports,Evening,1,73.521,,Sports,Morning,2,69.3072,,Sports,Afternoon,2,63.8558,,Sports,Evening,2,76.666,,Sports,Morning,3,72.18473,,Sports,Afternoon,3,69.224,,Sports,Evening,3,73.62621,,Sports,Morning,4,65.01,,Sports,Afternoon,4,60.77,,Sports,Evening,4,65.78418
Art,Morning,Tue,54.2336,,Art,Afternoon,1,79.6508,,Art,Evening,1,64.322,,Art,Morning,2,63.2808,,Art,Afternoon,2,59.295,,Art,Evening,2,73.0302,,Art,Morning,3,58.9,,Art,Afternoon,3,72.8348,,Art,Evening,3,69.4424,,Art,Morning,4,74.96145,,Art,Afternoon,4,63.40055,,Art,Evening,4,62.52909,,Front,Morning,1,80.036,,Front,Afternoon,1,70.2004,,Front,Evening,1,61.053,,Front,Morning,2,69.9008,,Front,Afternoon,2,65.21,,Front,Evening,2,78.4328,,Front,Morning,3,72.2926,,Front,Afternoon,3,66.7788,,Front,Evening,3,64.30528,,Front,Morning,4,72.81528,,Front,Afternoon,4,73.30453,,Front,Evening,4,66.48774,,Sports,Morning,1,57.122,,Sports,Afternoon,1,55.838,,Sports,Evening,1,74.4504,,Sports,Morning,2,72.2926,,Sports,Afternoon,2,66.7788,,Sports,Evening,2,74.72,,Sports,Morning,3,80.19436,,Sports,Afternoon,3,70.418,,Sports,Evening,3,75.19224,,Sports,Morning,4,67.098,,Sports,Afternoon,4,60.798,,Sports,Evening,4,66.80982
Art,Morning,Tue,57.0948,,Art,Afternoon,1,76.2642,,Art,Evening,1,64.79,,Art,Morning,2,62.341,,Art,Afternoon,2,61.4476,,Art,Evening,2,71.2778,,Art,Morning,3,58.838,,Art,Afternoon,3,69.956,,Art,Evening,3,64.3116,,Art,Morning,4,77.36333,,Art,Afternoon,4,69.3163,,Art,Evening,4,58.7637,,Front,Morning,1,76.714,,Front,Afternoon,1,66.8364,,Front,Evening,1,61.9762,,Front,Morning,2,69.8834,,Front,Afternoon,2,64.176,,Front,Evening,2,72.9862,,Front,Morning,3,73.502,,Front,Afternoon,3,64.6372,,Front,Evening,3,64.04849,,Front,Morning,4,75.28722,,Front,Afternoon,4,73.40296,,Front,Evening,4,68.57037,,Sports,Morning,1,50.7778,,Sports,Afternoon,1,54.128,,Sports,Evening,1,68.7396,,Sports,Morning,2,73.502,,Sports,Afternoon,2,64.6372,,Sports,Evening,2,72.428,,Sports,Morning,3,77.89164,,Sports,Afternoon,3,70.654,,Sports,Evening,3,81.99017,,Sports,Morning,4,69.15,,Sports,Afternoon,4,60.568,,Sports,Evening,4,68.54255
Art,Morning,Tue,57.6062,,Art,Afternoon,1,76.8258,,Art,Evening,1,63.998,,Art,Morning,2,64.3226,,Art,Afternoon,2,61.9322,,Art,Evening,2,70.4472,,Art,Morning,3,58.912,,Art,Afternoon,3,67.9098,,Art,Evening,3,62.076,,Art,Morning,4,79.43164,,Art,Afternoon,4,71.64455,,Art,Evening,4,62.25491,,Front,Morning,1,81.842,,Front,Afternoon,1,73.7044,,Front,Evening,1,62.0716,,Front,Morning,2,71.0576,,Front,Afternoon,2,68.144,,Front,Evening,2,78.1906,,Front,Morning,3,69.3006,,Front,Afternoon,3,66.7568,,Front,Evening,3,68.80038,,Front,Morning,4,73.93926,,Front,Afternoon,4,73.97264,,Front,Evening,4,68.88264,,Sports,Morning,1,56.3996,,Sports,Afternoon,1,57.146,,Sports,Evening,1,69.8828,,Sports,Morning,2,69.3006,,Sports,Afternoon,2,66.7568,,Sports,Evening,2,75.48,,Sports,Morning,3,71.70909,,Sports,Afternoon,3,70.226,,Sports,Evening,3,80.39448,,Sports,Morning,4,67.512,,Sports,Afternoon,4,61.964,,Sports,Evening,4,66.86945
Art,Morning,Tue,56.6562,,Art,Afternoon,1,75.4878,,Art,Evening,1,58.374,,Art,Morning,2,67.6306,,Art,Afternoon,2,63.4338,,Art,Evening,2,70.3336,,Art,Morning,3,57.726,,Art,Afternoon,3,66.8302,,Art,Evening,3,58.3684,,Art,Morning,4,73.904,,Art,Afternoon,4,72.47073,,Art,Evening,4,64.59109,,Front,Morning,1,84.506,,Front,Afternoon,1,81.2184,,Front,Evening,1,58.5214,,Front,Morning,2,74.4908,,Front,Afternoon,2,70.864,,Front,Evening,2,77.5692,,Front,Morning,3,71.858,,Front,Afternoon,3,63.5522,,Front,Evening,3,62.79283,,Front,Morning,4,71.54925,,Front,Afternoon,4,75.50774,,Front,Evening,4,67.16278,,Sports,Morning,1,56.6594,,Sports,Afternoon,1,60.638,,Sports,Evening,1,67.7952,,Sports,Morning,2,71.858,,Sports,Afternoon,2,63.5522,,Sports,Evening,2,68.046,,Sports,Morning,3,73.71611,,Sports,Afternoon,3,72.196,,Sports,Evening,3,79.77431,,Sports,Morning,4,65.832,,Sports,Afternoon,4,61.728,,Sports,Evening,4,63.10855
